Title,Year,Genre,budget,opening weekend,worldwide gross,Rotten Tomatoes score
The Day After Tomorrow,2004,"Action, Adventure, Sci-Fi",125000000.0,9210659.516666668,552639571.0,45
Armageddon,1998,"Action, Adventure, Sci-Fi",140000000.0,9228496.466666667,553709788.0,38
Puss in Boots,2011,"Animation, Adventure, Comedy",130000000.0,9249791.283333333,554987477.0,86
King Kong,2005,"Action, Adventure, Drama",207000000.0,9281772.966666667,556906378.0,84
King Kong,2005,"Action, Adventure, Drama",207000000.0,9281772.966666667,556906378.0,84
King Kong,2005,"Action, Adventure, Drama",207000000.0,9281772.966666667,556906378.0,84
Cars 2,2011,"Animation, Adventure, Comedy",200000000.0,9330873.266666668,559852396.0,39
The Smurfs,2011,"Animation, Adventure, Comedy",110000000.0,9395822.05,563749323.0,21
Fifty Shades of Grey,2015,"Drama, Romance, Thriller",40000000.0,9494191.116666667,569651467.0,24
Night at the Museum,2006,"Adventure, Comedy, Family",110000000.0,9574687.15,574481229.0,43
The Revenant,2015,"Action, Adventure, Drama",135000000.0,8882508.383333333,532950503.0,78
The Simpsons Movie,2007,"Animation, Adventure, Comedy",75000000.0,8940238.216666667,536414293.0,87
Brave,2012,"Animation, Adventure, Comedy",185000000.0,8983053.45,538983207.0,79
World War Z,2013,"Action, Adventure, Horror",200000000.0,9007597.933333334,540455876.0,66
Madagascar,2005,"Animation, Adventure, Comedy",75000000.0,9034397.433333334,542063846.0,55
Cinderella,2015,"Adventure, Drama, Family",95000000.0,9039305.516666668,542358331.0,83
Cinderella,2015,"Adventure, Drama, Family",95000000.0,9039305.516666668,542358331.0,83
Twister,1996,"Action, Adventure, Thriller",92000000.0,8243010.25,494580615.0,63
How to Train Your Dragon,2010,"Animation, Action, Adventure",165000000.0,8247991.183333334,494879471.0,99
Toy Story 2,1999,"Animation, Adventure, Comedy",90000000.0,8289589.683333334,497375381.0,100
Troy,2004,Drama,175000000.0,8290164.2,497409852.0,53
Rio 2,2014,"Animation, Adventure, Comedy",103000000.0,8313018.616666666,498781117.0,48
Gladiator,2000,"Action, Adventure, Drama",103000000.0,8386038.55,503162313.0,79
Aladdin,1992,"Animation, Adventure, Comedy",28000000.0,8400836.983333332,504050219.0,95
Aladdin,1992,"Animation, Adventure, Comedy",28000000.0,8400836.983333332,504050219.0,95
Ghost,1990,"Drama, Fantasy, Romance",22000000.0,8428392.616666667,505703557.0,75
Ant-Man,2015,"Action, Comedy, Sci-Fi",130000000.0,8655199.416666666,519311965.0,83
Terminator 2: Judgment Day,1991,"Action, Sci-Fi",100000000.0,8681352.566666666,520881154.0,93
Kung Fu Panda 3,2016,"Animation, Action, Adventure",145000000.0,8686180.416666666,521170825.0,86
Meet the Fockers,2004,"Comedy, Romance",80000000.0,8710965.6,522657936.0,38
Sherlock Holmes,2009,"Action, Adventure, Mystery",90000000.0,8733811.316666666,524028679.0,69
Hotel Transylvania 2,2015,"Animation, Adventure, Comedy",80000000.0,7919778.433333334,475186706.0,55
Jaws,1975,"Adventure, Thriller",7000000.0,7941867.75,476512065.0,97
Home Alone,1990,"Comedy, Family",18000000.0,7944744.583333333,476684675.0,66
Rise of the Planet of the Apes,2011,"Action, Drama, Sci-Fi",93000000.0,8030014.55,481800873.0,82
