Title,Year,Genre,Runtime,Gross,imdbRating,imdbRatingVotes,metascoreRating,rottenRating,metacriticRating
Vertical Limit,2000,"Action, Adventure, Drama",124,215663859,5.9,62589,48,48,48
Ghostbusters II,1989,"Action, Comedy, Fantasy",108,215394738,6.6,210993,56,55,56
The Patriot,2000,"Action, Drama, History",165,215294342,7.2,278457,63,62,63
The Sorcerer's Apprentice,2010,"Action, Adventure, Family",109,215283742,6.1,164244,46,40,46
Just Go with It,2011,"Comedy, Romance",117,214945591,6.4,248460,33,19,33
The Expendables 3,2014,"Action, Adventure, Thriller",126,214657577,6.1,184957,35,31,35
Dirty Dancing,1987,"Drama, Music, Romance",100,214577242,7,237188,65,71,65
Creed II,2018,"Action, Drama, Sport",130,214215889,7.1,128652,66,83,66
Smallfoot,2018,"Animation, Adventure, Comedy",96,214115531,6.6,40540,60,76,60
Public Enemies,2009,"Action, Biography, Crime",140,214104620,7,306422,70,68,70
The Bourne Identity,2002,"Action, Mystery, Thriller",119,214034224,7.9,550882,68,84,68
Disclosure,1994,"Drama, Thriller",128,214015089,6.1,51427,58,60,58
Pulp Fiction,1994,"Crime, Drama",154,213928762,8.9,2067298,94,92,94
The Aviator,2004,"Biography, Drama",170,213719942,7.5,365405,77,86,77
"Crouching Tiger, Hidden Dragon",2000,"Action, Adventure, Drama",120,213525736,7.9,271798,94,97,94
Braveheart,1995,"Biography, Drama, History",178,213216216,8.4,1042953,68,75,68
Into the Woods,2014,"Adventure, Comedy, Drama",125,212902372,5.9,143076,69,71,69
Bedtime Stories,2008,"Adventure, Comedy, Family",99,212874864,6,96791,33,27,33
Miss Congeniality,2000,"Action, Comedy, Crime",109,212742720,6.3,214169,43,41,43
Entrapment,1999,"Action, Crime, Romance",113,212404396,6.3,117594,54,40,54
Ace Ventura: When Nature Calls,1995,"Adventure, Comedy, Crime",90,212385533,6.4,221198,45,21,45
End of Days,1999,"Action, Fantasy, Horror",122,211989043,5.8,112091,33,11,33
Bridget Jones's Baby,2016,"Comedy, Drama, Romance",123,211952420,6.5,77226,59,78,59
Fury,2014,"Action, Drama, War",134,211822697,7.5,498738,64,76,64
Battle Los Angeles,2011,"Action, Adventure, Sci-Fi",116,211819354,5.7,181649,37,37,37
Australia,2008,"Adventure, Drama, Romance",165,211787511,6.6,126077,53,54,53
Due Date,2010,"Comedy, Drama",95,211780824,6.5,347007,51,39,51
Master and Commander: The Far Side of the World,2003,"Action, Adventure, Drama",138,211622535,7.4,224557,81,85,81
A Series of Unfortunate Events,2004,"Adventure, Comedy, Family",108,211468235,6.8,212014,62,72,62
The Little Mermaid,1989,"Animation, Adventure, Comedy",83,211343479,7.6,267512,88,92,88
Nice View,2022,"Comedy, Drama",106,211019042,6.6,858,,92,88
District 9,2009,"Action, Sci-Fi, Thriller",112,210888950,7.9,687014,81,90,81
Moonraker,1979,"Action, Adventure, Sci-Fi",126,210308099,6.2,103083,66,59,66
The Others,2001,"Horror, Mystery, Thriller",104,209947037,7.6,371010,74,84,74
Horrible Bosses,2011,"Comedy, Crime",98,209838559,6.9,453224,57,69,57
Us and Them,2018,"Drama, Romance",120,209221380,7.4,4493,,60,57
